Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
134,-4.6997,-1.9531,-15.8081,-0.0791,0.9873,-0.1133,149.0561,-167.7762,-75.1047
135,-4.8828,-1.5259,-17.4561,-0.0889,0.9771,-0.1182,147.1203,-157.5042,-65.7166
136,-5.249,-1.0376,-18.3716,-0.0986,0.9775,-0.1289,147.1203,-157.5042,-65.7166
137,-7.2632,1.2817,-19.5313,-0.1001,0.9785,-0.1138,147.1203,-159.7868,-59.4579
138,-7.7515,1.709,-20.2026,-0.0981,0.9785,-0.106,129.6981,-158.6455,-62.5872
139,-8.3618,1.77,-21.7285,-0.0933,0.9829,-0.1162,152.9277,-163.2108,-75.1047
140,-8.606,1.9531,-22.522,-0.0918,0.9834,-0.1152,152.9277,-163.2108,-75.1047
141,-8.728,1.4648,-23.7427,-0.0835,0.9785,-0.105,150.9918,-157.5042,-59.4579
142,-8.4839,0.4883,-24.5972,-0.0903,0.9844,-0.1152,121.955,-154.0801,-50.0698
143,-8.667,-0.3662,-25.7568,-0.1001,0.9868,-0.1177,149.0561,-156.3628,-62.5872
144,-9.3384,-0.061,-25.8789,-0.1025,0.9839,-0.1079,149.0561,-156.3628,-62.5872
145,-9.8877,-0.1831,-26.062,-0.1025,0.9814,-0.1045,147.1203,-157.5042,-59.4579
146,-10.376,-1.2207,-27.5879,-0.1084,0.9907,-0.1128,139.3771,-159.7868,-59.4579
147,-10.376,-1.5259,-28.3203,-0.1138,0.9971,-0.1172,129.6981,-158.6455,-62.5872
148,-9.7046,-2.5635,-29.6021,-0.1279,1.0049,-0.123,129.6981,-158.6455,-62.5872
149,-9.4604,-2.6245,-29.541,-0.1396,1.0049,-0.1265,125.8265,-160.9281,-68.846
150,-9.2163,-2.4414,-28.9307,-0.1602,1.0059,-0.1016,135.5055,-159.7868,-65.7166
151,-8.728,-2.8687,-28.6255,-0.168,1.0029,-0.0889,125.8265,-156.3628,-75.1047
152,-7.5073,-3.9062,-28.8086,-0.1816,0.9878,-0.0703,125.8265,-156.3628,-75.1047
153,-7.4463,-4.2725,-29.1138,-0.186,0.9805,-0.0635,121.955,-163.2108,-75.1047
154,-8.5449,-4.6997,-30.0293,-0.1953,0.9702,-0.0552,131.6339,-162.0695,-65.7166
155,-9.5825,-4.8218,-30.5176,-0.1992,0.9702,-0.0532,131.6339,-162.0695,-65.7166
156,-11.4746,-5.5542,-30.9448,-0.2061,0.9819,-0.0508,129.6981,-165.4935,-68.846
157,-12.207,-5.9204,-31.0669,-0.2095,0.9863,-0.0518,118.0834,-163.2108,-75.1047
158,-12.5732,-6.3477,-31.25,-0.21,0.9956,-0.0571,123.8908,-168.9175,-84.4927
159,-12.5732,-7.019,-31.6772,-0.2085,1.0073,-0.0688,123.8908,-168.9175,-84.4927
160,-12.085,-7.2021,-31.7993,-0.2021,1.0122,-0.0737,120.0192,-166.6348,-84.4927
161,-10.7422,-7.6294,-31.7383,-0.1997,1.0161,-0.0742,116.1476,-178.0482,-97.0102
162,-9.7046,-8.0566,-31.3721,-0.1973,1.0254,-0.0718,121.955,-172.3415,-131.4332
163,-7.5684,-9.0942,-30.3955,-0.1968,1.0332,-0.0654,121.955,-172.3415,-131.4332
164,-6.2866,-10.0098,-30.0293,-0.1948,1.0361,-0.0586,114.2118,-160.9281,-112.657
165,-4.3335,-12.2681,-30.0903,-0.1909,1.0293,-0.0552,127.7624,-166.6348,-103.2689
166,-3.7231,-13.3667,-30.3345,-0.1885,1.0239,-0.0498,100.6612,-164.3522,-97.0102
167,-3.1738,-15.2588,-30.4565,-0.1948,1.0137,-0.0444,112.276,-175.7655,-109.5276
168,-3.2349,-15.8081,-30.5786,-0.2017,1.0073,-0.0425,112.276,-175.7655,-109.5276
169,-3.9062,-16.4185,-30.9448,-0.2148,0.9961,-0.0469,110.3402,-172.3415,-125.1744
170,-4.2725,-16.6016,-31.311,-0.2187,0.9922,-0.0469,118.0834,-167.7762,-75.1047
171,-4.9438,-16.9067,-32.0435,-0.2231,0.9897,-0.0566,123.8908,-173.4828,-97.0102
172,-5.3101,-16.7847,-32.4097,-0.2266,0.9907,-0.062,123.8908,-173.4828,-97.0102
173,-5.9204,-15.8081,-32.959,-0.2397,0.9961,-0.0762,114.2118,-170.0588,-112.657
174,-6.0425,-14.9536,-33.1421,-0.2446,0.9976,-0.0791,114.2118,-170.0588,-125.1744
175,-5.4932,-13.4888,-32.8369,-0.2578,0.9946,-0.0718,96.7897,-171.2001,-128.3038
176,-4.8828,-12.8784,-32.4097,-0.2617,0.9893,-0.0693,96.7897,-171.2001,-128.3038
177,-3.418,-12.0239,-31.4941,-0.2656,0.9717,-0.0449,110.3402,-172.3415,-118.9157
178,-2.7466,-11.5967,-30.7007,-0.2646,0.9678,-0.0322,96.7897,-180.3308,-90.7515
179,-1.77,-10.8032,-28.0762,-0.2617,0.958,-0.0161,100.6612,-173.4828,-90.7515
180,-1.709,-10.1318,-26.4893,-0.2578,0.9521,-0.0078,100.6612,-173.4828,-90.7515
181,-2.3193,-8.0566,-23.0713,-0.2583,0.9424,-0.0024,106.4686,-176.9068,-125.1744
182,-2.6855,-7.1411,-21.1182,-0.2578,0.9429,-0.0005,110.3402,-167.7762,-112.657
183,-3.1738,-5.188,-17.0898,-0.2603,0.9438,-0.0068,102.597,-176.9068,-137.6919
184,-3.1738,-4.2114,-15.0146,-0.2612,0.9453,-0.0054,102.597,-176.9068,-137.6919
185,-2.8687,-3.1738,-12.7563,-0.2646,0.9443,-0.0098,102.597,-179.1895,-125.1744
186,-1.9531,-0.6714,-8.2397,-0.271,0.939,-0.0151,96.7897,-180.3308,-122.0451
187,-1.5869,0.4883,-5.7983,-0.2773,0.9375,-0.0176,90.9823,-163.2108,-131.4332
188,-0.8545,3.2349,-1.2207,-0.2778,0.9399,-0.019,90.9823,-163.2108,-131.4332
189,-0.3662,4.5166,1.0376,-0.2783,0.9409,-0.0176,92.9181,-173.4828,-134.5625
190,0.6714,6.4087,5.3711,-0.272,0.9429,-0.019,100.6612,-168.9175,-134.5625
191,1.2817,7.1411,7.5684,-0.2646,0.9482,-0.02,100.6612,-171.2001,-134.5625
192,3.54,7.9956,12.3291,-0.2515,0.9551,-0.0122,100.6612,-171.2001,-134.5625
193,4.8828,7.9956,14.8315,-0.2422,0.958,-0.0044,87.1107,-172.3415,-143.9506
194,6.1646,7.8125,17.1509,-0.231,0.9604,-0.0005,92.9181,-164.3522,-134.5625
195,8.3618,7.1411,22.3389,-0.2104,0.9683,0.0029,92.9181,-164.3522,-134.5625
196,9.3384,6.6528,25.0854,-0.2041,0.9771,0.0059,106.4686,-165.4935,-131.4332
197,11.6577,5.3711,30.7007,-0.1973,0.9927,0.0117,96.7897,-157.5042,-128.3038
198,13.0005,4.5776,33.5693,-0.1997,0.9956,0.0083,96.7897,-159.7868,-134.5625
199,14.4653,3.7842,36.3159,-0.2031,0.9966,0.0103,96.7897,-159.7868,-134.5625
200,17.334,2.6245,41.5039,-0.2139,0.9937,0.0083,98.7254,-163.2108,-150.2093
201,18.5547,2.2583,43.8232,-0.2183,0.9932,0.0044,120.0192,-164.3522,-115.7863
202,20.0806,2.3193,47.9126,-0.2217,0.9946,-0.0093,120.0192,-164.3522,-115.7863
203,20.6299,2.6245,49.8047,-0.2231,0.9966,-0.0117,100.6612,-148.3735,-109.5276
204,21.1182,3.1128,51.6357,-0.2231,0.9956,-0.0205,100.6612,-157.5042,-122.0451
205,22.4609,4.0894,54.8096,-0.2139,0.9956,-0.0322,102.597,-149.5148,-106.3983
206,23.3765,4.5166,56.3354,-0.209,0.998,-0.0381,102.597,-149.5148,-106.3983
207,25.3906,4.5776,59.082,-0.1885,1.0005,-0.0405,96.7897,-141.5255,-84.4927
